Library	Name	Locator Type	Locator Value	Comments	
D2Client.dll	DifficultyLevel	Offset	0x12EAC4	nDifficultyLevel	
D2Client.dll	IngameMousePositionX	Offset	0x11ACA0		
D2Client.dll	IngameMousePositionY	Offset	0x11ACA4		
D2Client.dll	IsAutomapOpen	Offset	0x143534		
D2Client.dll	IsGameMenuOpen	Offset	0x143530		
D2Client.dll	IsHelpScreenOpen	Offset	0x143590		
D2Client.dll	IsNewSkillButtonPressed	Offset	0x13DB30		
D2Client.dll	IsNewStatsButtonPressed	Offset	0x13DB2C		
D2GFX.dll	ResolutionMode	Offset	0x2A990	"0 = 640x480, 1 = Main Menu 800x600"	
D2Lang.dll	Unicode_strcat	Offset	0x10B4		Unicode::strcat
D2Lang.dll	Unicode_strlen	Offset	0x1055	?strlen@Unicode@@SIHPBU1@@Z	Unicode::strlen
D2Lang.dll	Unicode_tolower	Offset	0x1014	?toLower@Unicode@@QBE?AU1@XZ	Unicode::toLower
D2Lang.dll	Unicode_toupper	Offset	0x1154		Unicode::toUpper
D2Win.dll	MainMenuMousePositionX	Offset	0x72A98		
D2Win.dll	MainMenuMousePositionY	Offset	0x72A9C		
