Library	Name	Locator Type	Locator Value	Comments	
D2Client.dll	DifficultyLevel	Offset	0x3A060C	nDifficultyLevel	
D2Client.dll	IngameMousePositionX	Offset	0x3A6AB0		
D2Client.dll	IngameMousePositionY	Offset	0x3A6AAC		
D2Client.dll	IsAutomapOpen	Offset	0x3A27E8		
D2Client.dll	IsGameMenuOpen	Offset	0x3A27E4		
D2Client.dll	IsHelpScreenOpen	Offset	0x3A2844		
D2Client.dll	IsNewSkillButtonPressed	Offset	0x3C02E8		
D2Client.dll	IsNewStatsButtonPressed	Offset	0x3C02E4		
D2GFX.dll	ResolutionMode	Offset	0x3C8CB8	"0 = 640x480, 1 = Main Menu, 2 = 800x600, 3 = 1344x700"	
D2Lang.dll	Unicode_strlen	Offset	0x126800	?strlen@Unicode@@SIHPBU1@@Z	Unicode::strlen
D2Win.dll	MainMenuMousePositionX	Offset	0x3D55A4		
D2Win.dll	MainMenuMousePositionY	Offset	0x3D55A8		
